epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1.4531,3.1502,2.1716,1.6216,0.2652,0.35424,0.23624,0.1273,0.26052,0.30738,0.21818,0.10529,1.4401,2.7384,2.0539,1.5755,0.00047512,0.00047512,0.00047512
1,1.4263,2.7506,1.9833,1.5922,0.41784,0.39717,0.31831,0.16586,0.37405,0.3718,0.28355,0.12763,1.4095,2.6484,1.9823,1.5858,0.00090436,0.00090436,0.00090436
2,1.4321,2.7273,1.9018,1.5983,0.372,0.43772,0.30478,0.17564,0.36482,0.43621,0.29648,0.14234,1.4001,7.4207,3.0383,1.8225,0.0012864,0.0012864,0.0012864
3,1.3289,2.6096,1.9028,1.5363,0.41757,0.40138,0.35819,0.21016,0.42706,0.40725,0.36249,0.19062,1.3313,2.5461,1.848,1.509,0.0012168,0.0012168,0.0012168
4,1.3266,2.6305,1.7319,1.5445,0.53873,0.44572,0.44519,0.26457,0.52609,0.43049,0.4293,0.21082,1.283,2.615,1.6753,1.4814,0.0012168,0.0012168,0.0012168
5,1.299,2.664,1.6997,1.5164,0.34852,0.41637,0.29374,0.16813,0.34694,0.41727,0.28402,0.13121,1.2747,2.5208,2.7133,1.4615,0.0011461,0.0011461,0.0011461
6,1.3231,2.6029,1.675,1.5454,0.78802,0.35018,0.47619,0.28452,0.70719,0.37611,0.44196,0.23284,1.2616,2.3773,1.6551,1.4582,0.0010753,0.0010753,0.0010753
7,1.2176,2.5137,1.6143,1.4674,0.57248,0.48949,0.4908,0.31594,0.5735,0.48875,0.47736,0.25438,1.2118,2.3401,1.5238,1.4247,0.0010046,0.0010046,0.0010046
8,1.2064,2.493,1.5742,1.4646,0.45819,0.50118,0.47325,0.28919,0.45436,0.50619,0.47133,0.23387,1.2479,2.3744,1.6688,1.4682,0.00093385,0.00093385,0.00093385
9,1.1446,2.4565,1.4678,1.4188,0.49708,0.4962,0.4325,0.25927,0.47777,0.48973,0.42308,0.22107,1.1668,2.2666,1.6013,1.4181,0.00086312,0.00086312,0.00086312
10,1.2224,2.4315,1.7568,1.5208,0.60389,0.45601,0.4774,0.30782,0.60846,0.42259,0.44324,0.23575,1.1323,2.299,1.5231,1.3941,0.00079238,0.00079238,0.00079238
11,1.1591,2.4012,1.7473,1.4728,0.34171,0.36187,0.269,0.17442,0.34645,0.36035,0.27463,0.15247,1.1684,2.3941,1.9199,1.4097,0.00072164,0.00072164,0.00072164
12,1.1409,2.3331,1.6955,1.4683,0.16726,0.19303,0.13888,0.07373,0.14987,0.19349,0.12348,0.06345,1.9313,4.0099,inf,2.2066,0.00065091,0.00065091,0.00065091
13,1.1079,2.2317,1.7211,1.4431,0.47131,0.48831,0.51563,0.33298,0.46588,0.48188,0.51427,0.28575,1.1063,2.2239,1.6316,1.3474,0.00058017,0.00058017,0.00058017
14,1.0605,2.1787,1.569,1.4163,0.40873,0.43792,0.33319,0.2066,0.40516,0.43908,0.3216,0.16748,1.1302,2.2743,3.1086,1.3776,0.00050944,0.00050944,0.00050944
15,1.0058,2.1294,1.5087,1.3843,0.53276,0.44049,0.48712,0.32342,0.59874,0.39644,0.47609,0.27512,1.0566,2.2146,1.4686,1.3185,0.0004387,0.0004387,0.0004387
16,0.97695,2.1016,1.4112,1.3432,0.57679,0.50606,0.49106,0.32548,0.57264,0.51244,0.49563,0.2774,1.0739,2.15,1.4589,1.3447,0.00036797,0.00036797,0.00036797
17,0.94796,2.0903,1.3985,1.3069,0.52875,0.53884,0.52908,0.34314,0.64656,0.44943,0.52747,0.29048,1.0607,2.1604,1.3728,1.3387,0.00029723,0.00029723,0.00029723
18,0.92852,2.0244,1.3606,1.3237,0.40089,0.49691,0.35493,0.22174,0.46535,0.42902,0.33622,0.18225,1.1007,2.522,7.213,1.3782,0.0002265,0.0002265,0.0002265
19,0.90535,2.0368,1.3058,1.3009,0.55626,0.5103,0.50334,0.33459,0.54819,0.50231,0.48917,0.28207,0.99584,2.0621,1.4214,1.2959,0.00015576,0.00015576,0.00015576
